epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,2935.2,1.46835,1.59815,1.61451,0.25024,0.47733,0.25587,0.10962,2.03479,2.08235,1.9328,0.000425,0.000425,0.000425
102,2964.23,1.47681,1.58751,1.60965,0.27034,0.43893,0.24986,0.10737,2.03503,2.08121,1.93645,0.00041675,0.00041675,0.00041675
103,2993.13,1.47247,1.60736,1.61651,0.25531,0.44825,0.2339,0.09902,2.0457,2.10627,1.95092,0.0004085,0.0004085,0.0004085
104,3022.22,1.4615,1.59265,1.60114,0.24787,0.44124,0.2385,0.09934,2.04323,2.12225,1.94334,0.00040025,0.00040025,0.00040025
105,3051.23,1.43335,1.56154,1.59026,0.28279,0.42215,0.25217,0.10635,2.05654,2.10541,1.95551,0.000392,0.000392,0.000392
106,3080.18,1.46752,1.58617,1.60739,0.25574,0.42618,0.2423,0.10089,2.05708,2.11531,1.96076,0.00038375,0.00038375,0.00038375
107,3109.2,1.46193,1.5729,1.6069,0.24599,0.40065,0.21987,0.09051,2.07505,2.18275,1.96398,0.0003755,0.0003755,0.0003755
108,3138.03,1.43641,1.54279,1.60074,0.24667,0.41783,0.22992,0.09577,2.08732,2.19996,1.97375,0.00036725,0.00036725,0.00036725
109,3166.9,1.4559,1.55537,1.60208,0.2658,0.41642,0.23578,0.09949,2.06538,2.11883,1.95249,0.000359,0.000359,0.000359
110,3195.94,1.42604,1.53178,1.57753,0.2652,0.39413,0.23586,0.09828,2.06237,2.1282,1.9529,0.00035075,0.00035075,0.00035075
111,3224.97,1.39935,1.49157,1.55918,0.25629,0.44202,0.23907,0.10122,2.08244,2.15636,1.9592,0.0003425,0.0003425,0.0003425
112,3253.88,1.40149,1.46617,1.55929,0.25637,0.38422,0.22294,0.09371,2.07332,2.19115,1.98287,0.00033425,0.00033425,0.00033425
113,3282.9,1.40287,1.49254,1.5718,0.26706,0.43865,0.23857,0.10233,2.0565,2.11855,1.96312,0.000326,0.000326,0.000326
114,3311.88,1.40914,1.4545,1.56287,0.25599,0.41244,0.22994,0.09796,2.06515,2.18326,1.95621,0.00031775,0.00031775,0.00031775
115,3340.78,1.42112,1.50617,1.5785,0.26159,0.44451,0.23807,0.10306,2.07259,2.13752,1.97029,0.0003095,0.0003095,0.0003095
116,3369.72,1.40775,1.46608,1.57395,0.25142,0.44861,0.23293,0.09896,2.08543,2.16476,1.98425,0.00030125,0.00030125,0.00030125
117,3398.62,1.39056,1.46382,1.55263,0.25067,0.44617,0.24134,0.10346,2.07473,2.13951,1.97192,0.000293,0.000293,0.000293
118,3427.52,1.40225,1.45279,1.56349,0.26188,0.43778,0.24142,0.10163,2.08321,2.15652,1.98554,0.00028475,0.00028475,0.00028475
119,3456.44,1.41228,1.46958,1.56733,0.25241,0.43284,0.22828,0.09442,2.10087,2.21164,1.99695,0.0002765,0.0002765,0.0002765
120,3485.43,1.39531,1.46842,1.56086,0.24775,0.427,0.22608,0.09443,2.09985,2.19322,1.98988,0.00026825,0.00026825,0.00026825
121,3514.37,1.38331,1.48499,1.5614,0.24593,0.45018,0.22798,0.09591,2.09012,2.18308,1.99236,0.00026,0.00026,0.00026
122,3543.25,1.35076,1.40068,1.51674,0.24261,0.39895,0.22136,0.09196,2.1031,2.25749,2.00098,0.00025175,0.00025175,0.00025175
123,3572.22,1.35679,1.40108,1.53616,0.24061,0.41181,0.21463,0.08853,2.1127,2.2532,2.02142,0.0002435,0.0002435,0.0002435
